delivery_id,delivery_partner,package_type,vehicle_type,delivery_mode,region,weather_condition,distance_km,package_weight_kg,delayed,delivery_status,delivery_rating,delivery_cost,delivery_date,expected_delivery_hours,actual_delivery_hours
250.99,delhivery,cosmetics,van,express,south,clear,93.1,20.89,no,delivered,3,578.17,2025-02-02 08:31:00,2.8,2.3
250.99,blue dart,pharmacy,bike,standard,central,hot,265.8,32.11,no,delivered,5,1425.33,2025-01-09 10:26:00,8.1,7.6
250.99,ekart,furniture,truck,two day,west,clear,110.2,23.24,no,delivered,4,620.72,2025-06-25 19:09:00,3.2,2.8
250.99,blue dart,documents,bike,standard,west,clear,6.0,0.88,no,delivered,4,95.6674,2025-06-11 07:44:00,0.5,0.4
250.99,dhl,furniture,truck,two day,east,foggy,16.5,21.49,no,delivered,4,146.97,2025-06-03 18:13:00,0.5,0.4
250.99,xpressbees,documents,ev van,standard,north,cold,102.0,18.67,no,delivered,4,566.01,2025-06-11 07:31:00,2.8,2.4
250.99,shadowfax,furniture,bike,express,north,rainy,265.4,15.96,yes,delayed,3,1424.88,2025-03-26 10:01:00,8.1,11.2
250.99,fedex,groceries,ev van,two day,north,foggy,27.5,15.43,no,delivered,5,183.79,2025-05-20 10:39:00,0.8,0.4
250.99,amazon logistics,fragile items,truck,two day,south,hot,59.5,7.79,no,delivered,3,320.87,2025-03-16 11:53:00,1.8,1.4
250.99,shadowfax,cosmetics,bike,express,north,cold,290.2,29.26,no,delivered,4,1588.78,2025-01-18 16:44:00,8.5,8.0
250.99,delhivery,clothing,scooter,standard,east,rainy,124.0,40.2,no,delivered,4,740.6,2025-03-10 09:00:00,3.5,3.1
250.99,xpressbees,automobile parts,scooter,two day,north,clear,261.9,41.68,no,delivered,4,1434.54,2025-06-19 19:14:00,8.5,8.2
250.99,shadowfax,pharmacy,ev van,two day,central,rainy,115.6,13.57,no,delivered,5,618.71,2025-01-06 07:04:00,3.7,3.3
250.99,shadowfax,groceries,ev bike,express,east,hot,156.0,14.49,no,delivered,3,873.47,2025-05-31 18:09:00,4.2,4.2
250.99,shadowfax,furniture,van,standard,north,foggy,284.1,14.35,no,delivered,4,1463.55,2025-05-16 08:22:00,7.7,7.1
250.99,fedex,clothing,truck,same day,north,cold,287.0,8.21,yes,failed,1,1559.63,2025-04-19 16:52:00,8.7,11.4
250.99,delhivery,electronics,van,two day,north,foggy,50.5,31.28,no,delivered,4,346.34,2025-01-09 08:16:00,1.7,1.3
250.99,shadowfax,groceries,van,two day,west,foggy,203.3,7.5,no,delivered,4,1039.0,2025-02-26 19:46:00,6.1,5.7
250.99,amazon logistics,fragile items,truck,same day,west,hot,127.8,20.03,no,delivered,3,799.09,2025-02-27 19:29:00,3.8,3.4
250.99,ekart,groceries,scooter,two day,east,cold,45.8,27.22,no,delivered,5,310.66,2025-04-01 12:08:00,1.4,0.8
250.99,shadowfax,groceries,ev bike,same day,west,hot,8.7,33.93,no,delivered,5,245.29,2025-06-19 06:10:00,0.8,0.6
250.99,delhivery,automobile parts,ev van,standard,north,rainy,152.8,48.37,no,delivered,4,909.11,2025-02-11 09:07:00,4.2,3.6
250.99,dhl,automobile parts,ev van,same day,south,rainy,29.0,40.89,no,delivered,4,367.67,2025-01-04 15:58:00,1.4,1.3
250.99,dhl,furniture,scooter,standard,north,clear,281.6,19.81,no,delivered,3,1467.43,2025-01-23 10:30:00,8.3,7.8
250.99,ecom express,electronics,van,same day,east,stormy,75.7,41.47,yes,delayed,2,602.91,2025-06-17 15:45:00,1.9,4.3
250.99,blue dart,cosmetics,scooter,standard,north,cold,132.5,14.18,no,delivered,4,705.04,2025-04-16 11:11:00,3.5,3.0
250.99,ekart,cosmetics,truck,standard,west,rainy,218.2,34.0,no,delivered,5,1193.0,2025-06-06 17:01:00,6.2,5.7
250.99,dhl,automobile parts,scooter,express,east,rainy,152.8,10.46,yes,delayed,2,845.38,2025-05-10 07:44:00,4.4,6.2
250.99,ecom express,automobile parts,van,same day,west,cold,113.8,21.95,no,delivered,3,734.85,2025-05-30 07:26:00,3.0,2.8
250.99,amazon logistics,pharmacy,bike,standard,east,clear,189.3,30.78,no,delivered,5,1038.84,2025-01-23 13:55:00,5.8,5.4
250.99,delhivery,electronics,truck,two day,north,rainy,60.1,40.63,no,delivered,3,422.39,2025-01-15 11:58:00,2.1,1.5
250.99,ekart,documents,truck,same day,south,foggy,147.7,46.57,no,delivered,4,978.21,2025-02-24 07:29:00,4.6,4.2
250.99,amazon logistics,cosmetics,truck,two day,north,cold,289.0,48.99,no,delivered,4,1591.97,2025-04-03 15:18:00,8.7,8.1
250.99,delhivery,pharmacy,van,express,north,cold,235.6,42.35,yes,delayed,3,1355.05,2025-06-22 13:17:00,6.8,9.2
250.99,amazon logistics,groceries,ev bike,same day,central,cold,101.1,9.76,no,delivered,4,634.78,2025-06-23 18:29:00,3.2,3.0
250.99,ekart,groceries,truck,two day,central,cold,273.9,42.56,no,delivered,3,1497.18,2025-01-05 14:33:00,8.3,8.1
250.99,ecom express,cosmetics,scooter,standard,north,clear,262.6,29.36,no,delivered,4,1401.08,2025-01-27 14:50:00,7.9,7.4
250.99,ekart,groceries,van,two day,east,clear,82.2,18.81,no,delivered,3,467.43,2025-01-20 16:08:00,2.6,2.4
250.99,dhl,clothing,truck,same day,south,cold,280.3,15.29,no,delivered,4,1547.37,2025-05-16 11:00:00,8.6,8.2
250.99,shadowfax,automobile parts,bike,same day,east,foggy,146.1,36.12,yes,delayed,2,938.86,2025-06-24 08:35:00,4.3,7.8
250.99,blue dart,groceries,van,same day,west,clear,279.9,21.63,yes,failed,2,1564.39,2025-02-02 19:44:00,8.1,9.0
250.99,shadowfax,documents,ev van,same day,south,stormy,165.4,43.2,yes,delayed,2,1056.6,2025-05-26 12:28:00,5.0,7.0
250.99,fedex,electronics,van,two day,central,cold,29.9,47.31,no,delivered,3,291.43,2025-04-25 16:50:00,1.1,0.6
250.99,amazon logistics,furniture,truck,standard,north,hot,42.6,44.55,no,delivered,4,346.65,2025-01-04 15:06:00,1.4,1.1
250.99,ecom express,automobile parts,ev bike,standard,east,foggy,149.9,23.31,no,delivered,4,819.43,2025-02-22 17:15:00,4.0,3.5
250.99,shadowfax,clothing,scooter,standard,west,rainy,8.4,44.16,no,delivered,4,174.48,2025-05-25 12:13:00,0.8,0.5
250.99,dhl,documents,ev bike,two day,east,hot,230.8,30.01,no,delivered,4,1244.03,2025-03-02 13:45:00,6.9,6.6
250.99,dhl,clothing,bike,express,west,clear,93.0,9.37,no,delivered,4,543.11,2025-04-20 19:52:00,2.1,1.8
250.99,dhl,electronics,van,two day,west,clear,10.4,4.59,no,delivered,4,95.6674,2025-05-17 14:17:00,0.5,0.4
250.99,amazon logistics,pharmacy,truck,two day,north,hot,194.9,2.42,no,delivered,4,981.76,2025-03-16 07:22:00,6.2,6.2
250.99,ekart,documents,scooter,express,west,rainy,182.1,2.26,yes,delayed,2,967.28,2025-06-17 11:06:00,5.2,6.4
250.99,blue dart,cosmetics,ev bike,standard,south,clear,38.8,40.89,no,delivered,4,316.67,2025-04-28 19:52:00,1.3,1.1
250.99,dhl,groceries,bike,two day,north,cold,55.2,6.78,no,delivered,3,296.34,2025-02-19 12:31:00,1.5,1.5
250.99,delhivery,pharmacy,truck,express,east,stormy,223.3,44.36,yes,failed,1,1299.58,2025-02-14 09:14:00,7.4,8.1
250.99,delhivery,electronics,truck,express,west,hot,46.2,14.83,no,delivered,5,325.49,2025-06-30 16:50:00,1.5,1.3
250.99,delhivery,documents,ev bike,two day,south,hot,3.6,49.52,no,delivered,5,163.39,2025-05-28 19:06:00,0.5,0.4
250.99,xpressbees,groceries,scooter,express,north,hot,297.1,22.0,no,delivered,5,1615.5,2025-06-09 06:28:00,9.0,8.7
250.99,xpressbees,electronics,bike,express,central,hot,87.8,7.72,no,delivered,5,512.16,2025-04-18 11:08:00,2.4,2.1
250.99,xpressbees,groceries,truck,express,central,hot,267.4,11.53,yes,delayed,2,1421.59,2025-02-04 17:19:00,8.2,10.7
250.99,fedex,furniture,ev van,two day,east,stormy,124.8,10.84,no,delivered,4,656.52,2025-02-26 18:08:00,3.7,3.1
250.99,xpressbees,groceries,ev bike,express,south,clear,288.9,8.3,no,delivered,4,1519.4,2025-06-15 18:35:00,8.7,8.7
250.99,blue dart,furniture,scooter,two day,central,hot,129.5,39.84,no,delivered,4,767.02,2025-01-30 08:17:00,4.0,3.9
250.99,ecom express,fragile items,van,same day,south,foggy,225.0,7.32,yes,delayed,3,1246.96,2025-04-15 08:27:00,6.5,9.5
250.99,fedex,cosmetics,scooter,standard,south,stormy,289.7,24.36,no,delivered,5,1521.58,2025-01-21 13:01:00,8.0,7.9
250.99,ecom express,electronics,ev bike,standard,south,rainy,85.4,41.07,no,delivered,4,550.21,2025-05-09 06:11:00,2.7,2.4
250.99,blue dart,pharmacy,truck,same day,east,hot,9.9,30.24,no,delivered,3,240.22,2025-02-01 17:03:00,0.5,0.4
250.99,fedex,automobile parts,van,standard,west,hot,135.1,37.59,no,delivered,5,788.27,2025-03-19 14:30:00,4.1,4.0
250.99,xpressbees,fragile items,bike,standard,south,stormy,228.6,5.64,no,delivered,4,1159.92,2025-05-04 17:23:00,7.0,6.6
250.99,fedex,documents,truck,express,north,rainy,169.6,41.44,yes,delayed,3,1022.32,2025-05-30 10:59:00,5.2,6.7
250.99,fedex,fragile items,van,express,central,foggy,250.7,29.97,yes,failed,2,1393.41,2025-04-02 16:52:00,6.6,7.8
250.99,blue dart,fragile items,bike,two day,north,rainy,80.7,0.67,no,delivered,4,404.76,2025-05-24 17:32:00,2.4,2.2
250.99,dhl,groceries,scooter,two day,east,stormy,21.3,41.19,no,delivered,3,230.07,2025-01-08 12:10:00,0.6,0.5
250.99,ekart,fragile items,ev bike,two day,north,clear,67.1,32.91,no,delivered,4,434.23,2025-06-10 09:13:00,2.0,1.7
250.99,ekart,pharmacy,ev bike,standard,west,foggy,69.4,0.99,no,delivered,3,349.97,2025-02-15 14:34:00,2.2,2.1
250.99,xpressbees,cosmetics,van,two day,south,cold,101.2,39.37,no,delivered,5,624.11,2025-06-21 11:16:00,2.9,2.7
250.99,shadowfax,cosmetics,ev bike,two day,north,rainy,94.2,49.37,no,delivered,4,619.11,2025-01-09 06:22:00,2.6,2.6
250.99,shadowfax,fragile items,ev bike,same day,north,foggy,71.0,32.56,no,delivered,3,552.68,2025-06-17 13:53:00,1.8,1.4
250.99,dhl,automobile parts,truck,two day,east,foggy,37.4,42.36,no,delivered,4,314.08,2025-01-19 07:50:00,1.1,0.9
250.99,ecom express,fragile items,scooter,two day,north,cold,157.0,43.03,no,delivered,4,914.09,2025-01-20 06:24:00,4.9,4.6
250.99,delhivery,groceries,van,same day,east,cold,213.7,49.52,no,delivered,5,1317.81,2025-06-17 15:05:00,6.6,6.6
250.99,dhl,pharmacy,ev bike,express,central,cold,272.6,12.84,yes,delayed,2,1451.52,2025-06-01 17:48:00,8.1,9.7
250.99,blue dart,pharmacy,scooter,express,south,stormy,83.5,24.02,yes,delayed,2,539.56,2025-06-13 09:58:00,2.0,2.9
250.99,dhl,fragile items,truck,express,central,foggy,198.5,20.1,no,delivered,5,1102.8,2025-02-28 17:34:00,5.9,5.4
250.99,ecom express,groceries,ev bike,express,west,hot,158.7,35.06,yes,failed,2,948.68,2025-05-22 14:38:00,5.2,8.1
250.99,dhl,documents,truck,same day,north,clear,265.3,31.8,no,delivered,5,1521.9,2025-04-22 16:44:00,7.4,7.2
250.99,ecom express,cosmetics,truck,express,east,stormy,208.8,22.83,yes,delayed,2,1162.49,2025-01-25 17:32:00,6.0,7.9
250.99,fedex,automobile parts,scooter,express,east,rainy,55.7,46.5,yes,failed,1,468.0,2025-02-28 13:58:00,2.0,2.6
250.99,xpressbees,automobile parts,van,standard,east,foggy,80.6,45.16,no,delivered,3,538.48,2025-06-05 17:27:00,1.9,1.5
250.99,fedex,clothing,bike,same day,east,stormy,187.7,6.69,yes,delayed,3,1058.57,2025-05-22 11:41:00,5.4,8.2
